,gamma,mode,window,sharpe
0,0.5,signal_only,250,1.089526757872155
1,0.5,signal_only,500,1.0885006800952315
2,0.5,signal_only,750,1.088244878074258
3,0.5,portfolio_only,250,1.0947001521379167
4,0.5,portfolio_only,500,1.0975046593700868
5,0.5,portfolio_only,750,1.0984330627403178
6,0.5,both,250,1.087195216743283
7,0.5,both,500,1.0892780410147762
8,0.5,both,750,1.089969967836408
9,0.8,signal_only,250,1.0849184150115831
10,0.8,signal_only,500,1.0836927689614346
11,0.8,signal_only,750,1.0832848591468365
12,0.8,portfolio_only,250,1.0932032762026738
13,0.8,portfolio_only,500,1.09771391563862
14,0.8,portfolio_only,750,1.0991827120605093
15,0.8,both,250,1.0812538538333127
16,0.8,both,500,1.0851791683514909
17,0.8,both,750,1.0862633102584043
18,1.0,signal_only,250,1.0816354577879002
19,1.0,signal_only,500,1.0805616606585182
20,1.0,signal_only,750,1.080200448071785
21,1.0,portfolio_only,250,1.0921768557695661
22,1.0,portfolio_only,500,1.0978327331236657
23,1.0,portfolio_only,750,1.0996546095554716
24,1.0,both,250,1.0771051984513387
25,1.0,both,500,1.0825667403623807
26,1.0,both,750,1.0840915219210252
27,1.2,signal_only,250,1.0786220736293324
28,1.2,signal_only,500,1.0774191578688208
29,1.2,signal_only,750,1.077356713707444
30,1.2,portfolio_only,250,1.0911295460348083
31,1.2,portfolio_only,500,1.097935883381705
32,1.2,portfolio_only,750,1.100104967325006
33,1.2,both,250,1.0732149743283845
34,1.2,both,500,1.0799915646417193
35,1.2,both,750,1.0821693376412904
36,1.4,signal_only,250,1.0753456255257963
37,1.4,signal_only,500,1.0741595760129643
38,1.4,signal_only,750,1.0741426597121309
39,1.4,portfolio_only,250,1.0900629338701344
40,1.4,portfolio_only,500,1.0980241130367254
41,1.4,portfolio_only,750,1.1005344298446296
42,1.4,both,250,1.0691162806856083
43,1.4,both,500,1.077390459171087
44,1.4,both,750,1.0799232121675195
45,2.0,signal_only,250,1.0659365157046417
46,2.0,signal_only,500,1.0656183583622336
47,2.0,signal_only,750,1.0672533130052964
48,2.0,portfolio_only,250,1.0867623321248456
49,2.0,portfolio_only,500,1.0982065616653127
50,2.0,portfolio_only,750,1.101703798304639
51,2.0,both,250,1.0572655657966419
52,2.0,both,500,1.0703630411983311
53,2.0,both,750,1.0753317196548962
